BLOCKHASH,BLOCKNUMBER,BLOCKTIMESTAMP,TRANSACTIONHASH,LOGADDRESS,TOPICHEX_0,TOPICHEX_1,TOPICHEX_2,TOPICHEX_3,TOPICDEC_0,TOPICDEC_1,TOPICDEC_2,TOPICDEC_3,LOGDATA,LOGINDEX,TRANSACTIONINDEX,REMOVED,PARTITION_DATE
0x4acec68bb81e58851bd668e128624c05f3f242037f8f4ccae7eaacdead70cb62,20,1601252703,0x684d5c4bae17cc97d66f6a020e042627c8e8a94fb79eefbb7087921be49f5628,0x436e85c85600a9060456610f679543EAAFe59f1f,0xddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef,0x0000000000000000000000000000000000000000000000000000000000000000,0x00000000000000000000000002dc93ccd8b4c1150ab0e50168eab3e4df817d33,0x0000000000000000000000000000000000000000000000000000000000000001,100389287136786176327247604509743168900146139575972864366142685224231313322991,0,16337020697011013463539463599923114012699622707,1,0x,0,0,false,2020-09-28
0xc0623c55bbf6d63d79e444bfb93de9e1ae02de5fc60919f716785751c8d91286,59,1601499361,0xc1b060ff283e4c377b53a0515647a45304687a9386cff5f781193bbb136655d1,0x4259F50ED1e02eA5793959b1d1E902c6Ef16aFF6,0x2f8788117e7eff1d82e926ec794901d17c78024a50270940304540a733656f0d,0x0000000000000000000000000000000000000000000000000000000000000000,0x000000000000000000000000ad07d59d97d6c50b2bf7193f144eb2d5c8a8d602,0x000000000000000000000000ad5da9234b49bebcdc12eb23358f68edf0cefe09,21498167346302451094516930465084812798900530214793017313261708129848854408973,0,987830117111977598985256171806861105912674309634,989744106642267901334396765930346307613663100425,0x,0,0,false,2020-09-30
0x75b9d7980a1c4a2032fdbe9afa3276fac4d206036a2588866e89c2d498674762,53,1601498962,0xcd45587e16a713b227795646e4c18bf2b088c6c174f6f4d6c667430f5a34a1de,0x6a68C87dA4d25c9F04ee22554CAe10aC9A7c4de6,0x2f8788117e7eff1d82e926ec794901d17c78024a50270940304540a733656f0d,0xe2b7fb3b832174769106daebcfd6d1970523240dda11281102db9363b83b0dc4,0x0000000000000000000000004aa0d262a6dc9a00baaa5ff3ff0c7110b9f14294,0x000000000000000000000000ad5da9234b49bebcdc12eb23358f68edf0cefe09,21498167346302451094516930465084812798900530214793017313261708129848854408973,102547770735452218668329474129228402032596641604203437911260885007774093348292,426051763422243928557686413989692868224516965012,989744106642267901334396765930346307613663100425,0x,1,0,false,2020-09-30
0xc6b0a027c2f5a08d0ffedb90b550a686960625d79760735a64e007366d19fb2b,51,1601498084,0xdbea8ac3e7ae821765982b3d7272df7788b11879a01287d4b0d4c4516cbb4444,0xa5acE8CdeF34723Feb1Caf58EF436c8b6647f66E,0x2f8788117e7eff1d82e926ec794901d17c78024a50270940304540a733656f0d,0xe2b7fb3b832174769106daebcfd6d1970523240dda11281102db9363b83b0dc4,0x000000000000000000000000ad07d59d97d6c50b2bf7193f144eb2d5c8a8d602,0x000000000000000000000000ad5da9234b49bebcdc12eb23358f68edf0cefe09,21498167346302451094516930465084812798900530214793017313261708129848854408973,102547770735452218668329474129228402032596641604203437911260885007774093348292,987830117111977598985256171806861105912674309634,989744106642267901334396765930346307613663100425,0x,2,0,false,2020-09-30
0x04fda813da6a1e515692eaf4c20be203ef7eb6737b097a88a7726a4863ba874a,41,1601472444,0xea804e30ba0af6a1726d20f94d472cce178bfaa5a5bd1c94bde2c3c0c8a62257,0x4259F50ED1e02eA5793959b1d1E902c6Ef16aFF6,0x2f8788117e7eff1d82e926ec794901d17c78024a50270940304540a733656f0d,0xe2b7fb3b832174769106daebcfd6d1970523240dda11281102db9363b83b0dc4,0x000000000000000000000000f37619d5fcd8d3453161ab199427c139f769cf2d,0x000000000000000000000000ad5da9234b49bebcdc12eb23358f68edf0cefe09,21498167346302451094516930465084812798900530214793017313261708129848854408973,102547770735452218668329474129228402032596641604203437911260885007774093348292,1389918495867003342215108806365842852573174419245,989744106642267901334396765930346307613663100425,0x,1,0,false,2020-09-30
0xbe39c43f489df9f99a0faa6c03dab1dad973d9fc07191d2982cbaf4358ddc8f4,62,1601501412,0x0bd1fbe31a1339fb8369af906fb0a82c789220a8b09ad5f2d278e298ac0e942b,0x6F239aA5b4db9a725Af9c74384e3c8D3c817C4B6,0x2f8788117e7eff1d82e926ec794901d17c78024a50270940304540a733656f0d,0x9f2df0fed2c77648de5860a4cc508cd0818c85b8b8a1ab4ceeef8d981c8956a6,0x0000000000000000000000006bd353b76a1ac135dd1ae0d4fb826b5af4a70003,0x000000000000000000000000ad5da9234b49bebcdc12eb23358f68edf0cefe09,21498167346302451094516930465084812798900530214793017313261708129848854408973,71998914331801701415977457805802827292338598818749192222732755537001613711014,615574762447483359252118702116423961308280848387,989744106642267901334396765930346307613663100425,0x,0,0,false,2020-09-30
0xc6b0a027c2f5a08d0ffedb90b550a686960625d79760735a64e007366d19fb2b,51,1601498084,0xdbea8ac3e7ae821765982b3d7272df7788b11879a01287d4b0d4c4516cbb4444,0xa5acE8CdeF34723Feb1Caf58EF436c8b6647f66E,0x2f8788117e7eff1d82e926ec794901d17c78024a50270940304540a733656f0d,0xe2b7fb3b832174769106daebcfd6d1970523240dda11281102db9363b83b0dc4,0x000000000000000000000000970fc269042ddc420ffb4cccb9dacca25c5d0538,0x000000000000000000000000ad5da9234b49bebcdc12eb23358f68edf0cefe09,21498167346302451094516930465084812798900530214793017313261708129848854408973,102547770735452218668329474129228402032596641604203437911260885007774093348292,862409053091052048398607208260684888138158245176,989744106642267901334396765930346307613663100425,0x,3,0,false,2020-09-30
0xc6b0a027c2f5a08d0ffedb90b550a686960625d79760735a64e007366d19fb2b,51,1601498084,0xdbea8ac3e7ae821765982b3d7272df7788b11879a01287d4b0d4c4516cbb4444,0xa5acE8CdeF34723Feb1Caf58EF436c8b6647f66E,0x2f8788117e7eff1d82e926ec794901d17c78024a50270940304540a733656f0d,0x0000000000000000000000000000000000000000000000000000000000000000,0x000000000000000000000000ad5da9234b49bebcdc12eb23358f68edf0cefe09,0x000000000000000000000000ad5da9234b49bebcdc12eb23358f68edf0cefe09,21498167346302451094516930465084812798900530214793017313261708129848854408973,0,989744106642267901334396765930346307613663100425,989744106642267901334396765930346307613663100425,0x,0,0,false,2020-09-30
0x4b82f4ba1728a4688557c91e01732917f21d9cd84ea8af5193abe15ce8207ccd,58,1601499352,0x4bc0def6dd826dae1cdc568c75b31af34435ea7251934aaacfd9a28ab2d163c6,0x4259F50ED1e02eA5793959b1d1E902c6Ef16aFF6,0x2f8788117e7eff1d82e926ec794901d17c78024a50270940304540a733656f0d,0x0000000000000000000000000000000000000000000000000000000000000000,0x0000000000000000000000004aa0d262a6dc9a00baaa5ff3ff0c7110b9f14294,0x000000000000000000000000ad5da9234b49bebcdc12eb23358f68edf0cefe09,21498167346302451094516930465084812798900530214793017313261708129848854408973,0,426051763422243928557686413989692868224516965012,989744106642267901334396765930346307613663100425,0x,0,0,false,2020-09-30
0x75b9d7980a1c4a2032fdbe9afa3276fac4d206036a2588866e89c2d498674762,53,1601498962,0xcd45587e16a713b227795646e4c18bf2b088c6c174f6f4d6c667430f5a34a1de,0x6a68C87dA4d25c9F04ee22554CAe10aC9A7c4de6,0x2f8788117e7eff1d82e926ec794901d17c78024a50270940304540a733656f0d,0xe2b7fb3b832174769106daebcfd6d1970523240dda11281102db9363b83b0dc4,0x000000000000000000000000ad07d59d97d6c50b2bf7193f144eb2d5c8a8d602,0x000000000000000000000000ad5da9234b49bebcdc12eb23358f68edf0cefe09,21498167346302451094516930465084812798900530214793017313261708129848854408973,102547770735452218668329474129228402032596641604203437911260885007774093348292,987830117111977598985256171806861105912674309634,989744106642267901334396765930346307613663100425,0x,2,0,false,2020-09-30
